5ht1d_rat,ackr3_human,ccr1_human,ccr1_mouse,ccr2_human,ccr2_mouse,ccr3_human,ccr3_mouse,ccr3_rat,ccr4_human,ccr5_human,ccr5_mouse,ccr6_human,ccr8_human,ccr9_human,ccrl2_human,cx3c1_human,cxcr1_human,cxcr2_human,cxcr3_human,cxcr3_mouse,cxcr3_rat,cxcr4_human,cxcr5_human,q9jly8_rat,ChEMBL_ID,Smiles
,,,,0.0,,,,,,,,,0.0,,,,,,1.0,,,,,,CHEMBL1077813,CCOC1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3N=C2C(C)N(CC4=CN=CC=C4)C(=O)CC5=CC=C(C=C5)C#N
,,,,0.0,,,,,,,,,,,,,,,1.0,,,,,,CHEMBL1077814,CCOC1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3N=C2C(C)N(CC4=CN=CC=C4)C(=O)CC5=CC=C(C=C5)S(=O)(=O)C
,,,,,,0.0,,,,,,,0.0,,,,,,1.0,,,,,,CHEMBL1077815,CCOC1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3N=C2C(C)N(CC4=CN=CC=C4)C(=O)CC5=CC(=C(C=C5)F)F
,,,,,,,,,,0.0,,,0.0,,,,,,1.0,,,,,,CHEMBL1077816,CCOC1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3N=C2C(C)N(CC4=CN=CC=C4)C(=O)CC5=CC(=C(C(=C5)F)F)F
,,,,0.0,,,,,,,,,0.0,,,,,,1.0,,,,,,CHEMBL1077817,CCOC1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3N=C2C(C)N(CC4=CN=CC=C4)C(=O)CC5=CC(=CC(=C5)C(F)(F)F)C(F)(F)F
,,,,0.0,,,,,,0.0,,,,,,,,,1.0,,,,,,CHEMBL1077818,CCOC1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3N=C2C(C)N(CC4=CN=CC=C4)C(=O)CC5=CC(=C(C=C5)OC(F)(F)F)F
,,,,,,,,,,,,,,,,,,,1.0,,,,,,CHEMBL1077820,CCOC1=CC=C(C=C1)N2C(=O)C3=C(C=NC=C3)N=C2C(C)N(CC4=CN=CC=C4)C(=O)CC5=CC(=C(C=C5)F)C(F)(F)F
,,,,,,,,,,,,,,,,,,,1.0,,,,,,CHEMBL1077821,CCOC1=CC=C(C=C1)N2C(=O)C3=C(C=CC=N3)N=C2C(C)N(CC4=CN=CC=C4)C(=O)CC5=CC(=C(C=C5)F)C(F)(F)F
,,,,,,,,,,,,,,,,,,,1.0,,,,,,CHEMBL1077822,CCOC1=CC=C(C=C1)N2C(=O)C3=NC=CN=C3N=C2C(C)N(CC4=CN=CC=C4)C(=O)CC5=CC(=C(C=C5)F)C(F)(F)F
,,,,,,,,,,,,,,,,,,,1.0,,,,,,CHEMBL1077823,CCOC1=CC=C(C=C1)N2C(=O)C3=C(N=CC=C3)N=C2C(C)N(CC4=CC(=NO4)C)C(=O)CC5=CC(=C(C=C5)F)C(F)(F)F
,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,CHEMBL1077824,CCOC1=CC=C(C=C1)N2C(=O)C3=C(N=CC=C3)N=C2C(C)N(CC4CCCN4C(C)C)C(=O)CC5=CC(=C(C=C5)F)C(F)(F)F
,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,CHEMBL1077825,CCOC1=CC=C(C=C1)N2C(=O)C3=C(N=CC=C3)N=C2C(C)N(CC4CCCN4C(C)C)C(=O)CC5=CC(=C(C=C5)F)C(F)(F)F
,,,,,,0.0,,,,0.0,,,0.0,,,,,,1.0,,,,,,CHEMBL1077826,CCOC1=CC=C(C=C1)N2C(=O)C3=C(N=CC=C3)N=C2C(C)N(CC4CCCN4)C(=O)CC5=CC(=C(C=C5)F)C(F)(F)F
,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,CHEMBL1077827,CCOC1=CC=C(C=C1)N2C(=O)C3=C(N=CC=C3)N=C2C(C)N(CC4CCN(CC4)C)C(=O)CC5=CC(=C(C=C5)F)C(F)(F)F
,,,,0.0,,,,,,,,,0.0,,,,,,1.0,,,,,,CHEMBL1077828,CCOC1=CC=C(C=C1)N2C(=O)C3=C(N=CC=C3)N=C2C(C)N(C4CCN(CC4)C(C)C)C(=O)CC5=CC(=C(C=C5)F)C(F)(F)F
,,,,0.0,,0.0,,,,0.0,,,,,,,,,1.0,,,,,,CHEMBL1077829,CCOC1=CC=C(C=C1)N2C(=O)C3=C(N=CC=C3)N=C2C(C)N(C4CCOCC4)C(=O)CC5=CC(=C(C=C5)F)C(F)(F)F
,,,,0.0,,0.0,,,,,,,,,,,,,1.0,,,,,,CHEMBL1077830,CCOC1=CC=C(C=C1)N2C(=O)C3=C(N=CC=C3)N=C2C(C)N(CCS(=O)(=O)CC)C(=O)CC4=CC(=C(C=C4)F)C(F)(F)F
,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,1.0,1.0,1.0,0.0,,0.0,CHEMBL1077831,CCS(=O)(=O)CCN(C(C)C1=NC2=C(C=CC=N2)C(=O)N1C3=CC=C(C=C3)OCC(F)(F)F)C(=O)CC4=CC(=C(C=C4)F)C(F)(F)F
