ChEMBL ID;Receptor;Species;Purchasable;No. records;Assay type;Min.;Average;Max.;Unit;Mol. weight;Rot. Bonds;H don;H acc;LogP;Smiles
CHEMBL218503;ccr8_human;Human;No;1;Funct;8.36;8.36;8.36;p(-log);409;5;2;4;4.8;C1CCC(CC1)NS(=O)(=O)C2=CC=C(C3=CC=CC=C32)NC(=O)C4=CC=CC=C4
CHEMBL219589;ccr8_human;Human;No;1;Funct;6.90;6.90;6.90;p(-log);489;6;2;6;3.0;CCOC(=O)N1CCC(CC1)NS(=O)(=O)C2=CC=C(C3=CC=CC=C32)NC(=O)N4CCCCC4
CHEMBL222111;ccr8_human;Human;Yes;1;Funct;6.63;6.63;6.63;p(-log);416;6;2;4;4.5;C1=CC=C(C=C1)CNS(=O)(=O)C2=CC=C(C3=CC=CC=C32)NC(=O)C4=CC=CC=C4
CHEMBL219770;ccr5_human;Human;Yes;2;Funct;4.85;5.28;5.70;p(-log);451;7;1;6;3.2;CC1=C(C=CC(=C1)CN2CCN(CC2)C)NC(=O)CSC3=NN=C(N3C4=CC=CC=C4)C
CHEMBL218298;ccr8_human;Human;No;1;Funct;7.38;7.38;7.38;p(-log);481;7;2;6;3.1;CCCC(=O)N1CCC(CC1)NS(=O)(=O)C2=CC=C(C3=CC=CC=C32)NC(=O)C4=CC=CC=N4
CHEMBL2204242;ccr2_human;Human;No;1;Funct;6.77;6.77;6.77;p(-log);502;6;3;9;2.2;C1CC(CCC1N2CC(C2)NC(=O)CNC(=O)C3=CC(=CC=C3)C(F)(F)F)(C4=CN=C(C=C4)C#N)O
CHEMBL2207093;ccr4_human;Human;No;1;Funct;5.40;5.40;5.40;p(-log);389;5;1;6;3.4;C1=CC(=C(C=C1Cl)NS(=O)(=O)C2=CC=C(S2)Cl)CN3C=CN=N3
CHEMBL2207093;ccr2_human;Human;No;1;Funct;7.30;7.30;7.30;p(-log);389;5;1;6;3.4;C1=CC(=C(C=C1Cl)NS(=O)(=O)C2=CC=C(S2)Cl)CN3C=CN=N3
CHEMBL2207093;ccr1_human;Human;No;1;Funct;6.00;6.00;6.00;p(-log);389;5;1;6;3.4;C1=CC(=C(C=C1Cl)NS(=O)(=O)C2=CC=C(S2)Cl)CN3C=CN=N3
CHEMBL2207097;ccr4_human;Human;No;1;Funct;5.60;5.60;5.60;p(-log);401;5;1;6;3.2;C1=CC(=C(C=C1F)NS(=O)(=O)C2=CC(=C(C=C2)Cl)Cl)CN3C=CN=N3
